person_id,when_think_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:133764955,I’m not closer to either. Both are lying self serving narcissists who want to take peoples rights away and spend money like drunk monkeys,0.22,27,-4.488756435635747
US:151713159,More than 10years ago,0.54,6,-1.168968645798868
US:45708634,When I was younger and talked about the pros and cons,0.44,11,-1.727791447227615
US:26379928,I do not like engaging in nasty politics,0.3,8,-2.963724377008906
US:2206969,At an early age,0.66,4,-0.48441760209263146
US:188282277,I always have. I think less of them now.,0.4,11,-1.9964086734968787
US:133487487,Soon after I graduated from college.,0.34,7,-2.4840442839876045
US:46470128,Since the election I have felt neither party is doing the right thing. Republicans are kneeling to their emperor and Democrats are do nothing's.,0.29,27,-3.0805722215601152
US:124268377,The first time I voted. For Ronald Reagan. Been a Republican ever since.,0.33,16,-2.6502834485328446
US:151472439,When Trump was first elected president,0.59,6,-0.8604573586846557
US:142972495,When I officially registered to vote as a Democrat,0.37,9,-2.275607496070653
US:2268180,left policies,0.58,2,-9.22235334686012
US:3082308,After graduating high school in 1973.,0.3,9,-2.926084424381522
US:38933505,I think in high school during the Iraq War.,0.26,10,-3.4720180146097475
US:166893161,At the age of 17,0.86,6,0.7199542999946588
US:140482051,Always,0.23,1,-4.413427954033356
US:183807503,When I realised that the parties were not representing my opinions fully.,0.23,13,-4.177767738614835
US:2527661,2016. Before that I was a republican.,0.4,10,-2.0373898118010993
US:206578411,I have always thought of myself as a Democrat and have been a registered member of the Democrat Party since I turned 18 and became eligible.,0.8,28,0.2771444871443717
US:164611585,decades ago. neither party gives a shit about me or people like me.,0.28,16,-3.192111196131184
US:714897,"In the 1980's. The Republican party in Oregon changed dramatically. Instead of conducting businesses in a sane and respectful way, the state legislature was chaos.",0.23,32,-4.212393146271849
US:41898821,2016,0.36,2,-2.358311613479094
US:4615008,when I was 21,0.47,5,-1.562752301432143
US:186367445,In the 80s during Reagan's administration.,0.31,10,-2.7977106790071304
US:158943699,Always,0.23,1,-4.413427954033356
US:182008695,"In 1972, while watching the Democratic National Convention.",0.49,12,-1.4528790231821338
US:162661351,When my beliefs lined up with Democratic candidates,0.22,8,-5.511967453630466
US:1286446,"Several years ago, around the time of Obama's presidency.",0.34,12,-2.48117380311148
US:41030059,As far back as I can remember.,0.31,8,-2.8478740710157315
US:28967472,30 years ago,0.49,3,-1.4128783088334185
US:3184357,As soon as I could vote.,0.23,7,-4.330730036554263
