person_id,when_decided_pid
US:4544163,1969
US:3443004,About 15 years ago.
US:1668222,ages ago
US:46714560,When Reagan cut funding for college sentencing me to a life of hard labor.
US:3728247,1984
US:36956027,At 20 years old
US:167634929,30 years ago
US:40556219,1982
US:2877393,In 1976
US:2805720,Probably on college
US:3254208,When Republicans said people rre lazy if they were unemployed and I had just lost mu job and was searching everyday to get another one
US:39653205,After I found out how corrupt the Democratic Party is
US:1698541,When I first voted 64 years ago
US:1413129,Emperor Trump
US:1293590,"When I looked at my ever increasing tax burden and decided to vote with my ""pocketbook"" an d chose the party that wanted to lower taxes."
US:164477477,When I was a teenager
US:189447283,When I was old enough to understand their positions and stances on topics.
US:1978965,I decided to select neither a very long time ago
US:149332529,16
US:162986549,When joe Biden “won”
US:2648604,15
US:2505924,Some time ago. Can’t really say for sure.
US:29061137,During the BLM riots.
US:136113889,Middle school
US:433839,they fight for people like me
US:1486600,Years ago
US:4351849,when i was 18. i am now 70
US:172402325,After I really started paying attention to politics during the Clinton term and watched what the Democrats and Republicans said and watched if they did what they said
US:1102473,60+ years ago
US:37908726,Always
US:103617509,"I was Democrat and supported Jimmy Carter. After that term, I changed to Republican"
US:186890281,I've always felt democratic voters cared more for the American people
US:4668940,The year that Obama ran for President the first time.
US:147235257,2010
US:188885,When the republicans decided to side with democrats by doing nothing
US:39566251,I have always identified as a democrat
US:33451094,as long as i can remember about 50 years
US:1203878,"Maybe never. Candidate by candidate, policy by policy, it's been D over and over. The choice is never for the party as such."
US:40108663,"During Regan years, I was in high school but much more active and involved since 2015"
US:128220557,When I first started paying closer attention to American politics.
US:191189651,2016
US:29689481,I have never found myself affiliated with either party I am independent
US:40460868,The Democratic Party shifted so far left they are socialist at best and communist at worst
US:1585469,When I saw Republicans caving to Trump in 2015.
US:172064911,In middle or high school
US:192621561,They're two sides of the same coin.
US:188829809,When trump was elected president
US:33232243,Since I've been able to vote. There have been some issues that are important to me and it seems that the democratic party touches on these issues more so than the republican party. These issues have actually come to fruition in a democratic candidate at times and not on a republican candidate ever.
US:976346,"When Ronald Reagan ran for office and won, 1980"
US:125838009,"My whole life, but reinforced by Trumps first term."
US:183821545,2015
US:46466605,About 25 years ago.
US:187220145,I always have been. There was no real specific moment. It just made sense to me.
US:40420989,Years ago
US:27147928,I became closer to Democratic Party when Obama was elected.
US:146089697,1992
